Método,Ruta,Tiempo Medio,N. de Peticiones
POST,/api/v1/devices/Lrktfn/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/fFcHR1/,106.0 ms,1 pet
PATCH,/api/v1/devices/KxOkAQ/,102.0 ms,1 pet
PATCH,/api/v1/devices/7rPolL/,89.0 ms,1 pet
POST,/api/v1/devices/7rPolL/access/,50.0 ms,1 pet
POST,/api/v1/devices/DEbq20/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/bBmYGk/,66.0 ms,1 pet
PATCH,/api/v1/devices/F9Q7jA/,95.0 ms,1 pet
POST,/api/v1/devices/z6kOoP/access/,70.0 ms,1 pet
PATCH,/api/v1/devices/z6kOoP/,109.0 ms,1 pet
POST,/api/v1/devices/ILnolO/access/,47.0 ms,1 pet
PATCH,/api/v1/devices/ILnolO/,65.0 ms,1 pet
PATCH,/api/v1/devices/rwSVKI/,55.0 ms,1 pet
PATCH,/api/v1/devices/G1c9mm/,58.0 ms,1 pet
POST,/api/v1/devices/U60GOh/access/,44.0 ms,1 pet
PATCH,/api/v1/devices/U60GOh/,68.0 ms,2 pet
PATCH,/api/v1/devices/RG9wsH/,98.0 ms,1 pet
PATCH,/api/v1/devices/IOzLjd/,84.0 ms,1 pet
PATCH,/api/v1/devices/10f0jC/,91.0 ms,2 pet
POST,/api/v1/devices/K3HFJb/access/,43.0 ms,1 pet
POST,/api/v1/devices/sKzHQT/access/,47.0 ms,1 pet
POST,/api/v1/devices/YhERKh/access/,44.0 ms,1 pet
PATCH,/api/v1/devices/EtHK5y/,70.0 ms,1 pet
PATCH,/api/v1/devices/ExBtEq/,96.0 ms,1 pet
POST,/api/v1/devices/LG9zlq/access/,48.0 ms,1 pet
POST,/api/v1/devices/ZJwsIv/access/,137.0 ms,1 pet
PATCH,/api/v1/devices/ZJwsIv/,171.0 ms,1 pet
POST,/api/v1/devices/gp7T69/access/,47.0 ms,1 pet
OPTIONS,/api/v1/devices/3RLIYN/access/,13.0 ms,1 pet
PATCH,/api/v1/devices/aW6HtN/,86.0 ms,1 pet
POST,/api/v1/devices/p2tkks/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/p2tkks/,90.0 ms,1 pet
PATCH,/api/v1/devices/qshUYT/,93.0 ms,1 pet
PATCH,/api/v1/devices/lDKcHa/,80.0 ms,1 pet
POST,/api/v1/devices/eS9w4p/access/,46.0 ms,1 pet
POST,/api/v1/devices/yrveXs/access/,68.0 ms,1 pet
PATCH,/api/v1/devices/IHLqZW/,75.5 ms,2 pet
PATCH,/api/v1/devices/LdfqYZ/,57.0 ms,1 pet
POST,/api/v1/devices/tFNpIX/access/,46.0 ms,1 pet
POST,/api/v1/devices/ver1AF/access/,49.0 ms,1 pet
PATCH,/api/v1/devices/37S8jB/,64.5 ms,2 pet
PATCH,/api/v1/devices/6x3UmU/,58.0 ms,1 pet
POST,/api/v1/devices/oBtAC6/access/,57.5 ms,2 pet
PATCH,/api/v1/devices/oBtAC6/,55.0 ms,1 pet
PATCH,/api/v1/devices/RJ0STy/,89.0 ms,1 pet
PATCH,/api/v1/devices/caI2Zo/,57.0 ms,1 pet
PATCH,/api/v1/devices/q554e5/,92.0 ms,2 pet
POST,/api/v1/devices/YUOQry/access/,47.0 ms,1 pet
POST,/api/v1/devices/go9UZ3/access/,58.0 ms,1 pet
POST,/api/v1/devices/nxhNlz/access/,46.0 ms,1 pet
POST,/api/v1/devices/tSj2lw/access/,49.0 ms,1 pet
PATCH,/api/v1/devices/tSj2lw/,90.0 ms,1 pet
PATCH,/api/v1/devices/oRlj3g/,93.0 ms,2 pet
POST,/api/v1/devices/VXgjAR/access/,45.0 ms,1 pet
POST,/api/v1/devices/iRMxZE/access/,74.0 ms,1 pet
PATCH,/api/v1/devices/kpPs8q/,93.0 ms,1 pet
POST,/api/v1/devices/rGUOT4/access/,68.0 ms,1 pet
POST,/api/v1/devices/H70ppT/access/,55.0 ms,1 pet
PATCH,/api/v1/devices/H70ppT/,57.0 ms,1 pet
PATCH,/api/v1/devices/PhG7Ba/,62.0 ms,1 pet
POST,/api/v1/devices/VM4OIf/access/,45.0 ms,1 pet
PATCH,/api/v1/devices/25131H/,113.0 ms,1 pet
POST,/api/v1/devices/4LVGDZ/access/,74.0 ms,1 pet
PATCH,/api/v1/devices/wmW1rW/,89.0 ms,1 pet
POST,/api/v1/devices/BOkgdR/access/,50.0 ms,1 pet
PATCH,/api/v1/devices/QfXxvf/,87.0 ms,1 pet
POST,/api/v1/devices/YtseXC/access/,47.0 ms,1 pet
POST,/api/v1/devices/9o1V4e/access/,69.0 ms,1 pet
POST,/api/v1/devices/VlB0k3/access/,48.0 ms,1 pet
POST,/api/v1/devices/6bGoge/access/,63.0 ms,1 pet
PATCH,/api/v1/devices/bntNBW/,108.0 ms,2 pet
POST,/api/v1/devices/WNoC7d/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/LKGHQy/,57.0 ms,1 pet
POST,/api/v1/devices/BQPfcR/access/,56.0 ms,1 pet
PATCH,/api/v1/devices/BQPfcR/,60.5 ms,2 pet
POST,/api/v1/devices/T6ua2t/access/,56.0 ms,1 pet
POST,/api/v1/devices/XDB6Zb/access/,79.0 ms,1 pet
PATCH,/api/v1/devices/negZQz/,57.0 ms,1 pet
PATCH,/api/v1/devices/pqv2fL/,101.0 ms,1 pet
PATCH,/api/v1/devices/zFiD75/,89.0 ms,1 pet
POST,/api/v1/devices/5Cj2lT/access/,44.0 ms,1 pet
PATCH,/api/v1/devices/5Cj2lT/,82.0 ms,1 pet
PATCH,/api/v1/devices/QgTB6e/,82.0 ms,1 pet
POST,/api/v1/devices/PVoKlZ/access/,45.0 ms,1 pet
POST,/api/v1/devices/PXqjoX/access/,54.0 ms,1 pet
PATCH,/api/v1/devices/XdcWD4/,91.0 ms,1 pet
PATCH,/api/v1/devices/igmGa4/,107.0 ms,1 pet
POST,/api/v1/devices/9tTZ6H/access/,47.0 ms,1 pet
PATCH,/api/v1/devices/gS7461/,89.0 ms,1 pet
POST,/api/v1/devices/dJ6VIr/access/,45.0 ms,1 pet
PATCH,/api/v1/devices/aVDzSE/,55.0 ms,1 pet
PATCH,/api/v1/devices/q0QzwV/,103.0 ms,1 pet
POST,/api/v1/devices/6r5IYY/access/,49.0 ms,1 pet
POST,/api/v1/devices/IO7VXb/access/,48.0 ms,1 pet
PATCH,/api/v1/devices/IO7VXb/,99.0 ms,1 pet
POST,/api/v1/devices/links/?retries=5,56.0 ms,1 pet
POST,/api/v1/devices/Ur92Hc/access/,47.0 ms,2 pet
PATCH,/api/v1/devices/LtLBYL/,101.0 ms,1 pet
POST,/api/v1/devices/j06ADy/access/,46.0 ms,1 pet
POST,/api/v1/devices/LKGHQy/access/,78.0 ms,1 pet
PATCH,/api/v1/devices/OxEoyu/,93.33333333333333 ms,3 pet
PATCH,/api/v1/devices/2e6mYG/,76.0 ms,1 pet
PATCH,/api/v1/devices/CxKboM/,92.0 ms,1 pet
POST,/api/v1/devices/yChZpq/access/,45.0 ms,1 pet
PATCH,/api/v1/devices/OdV6Lf/,104.0 ms,1 pet
PATCH,/api/v1/devices/Hzoo7Q/,86.0 ms,2 pet
POST,/api/v1/devices/efPGdt/access/,70.0 ms,1 pet
PATCH,/api/v1/devices/QUht85/,103.0 ms,1 pet
POST,/api/v1/devices/YIRb1M/access/,45.0 ms,1 pet
PATCH,/api/v1/devices/kP6Uzl/,94.0 ms,1 pet
POST,/api/v1/devices/Z5erNw/access/,45.0 ms,1 pet
PATCH,/api/v1/devices/259cqw/,59.0 ms,1 pet
POST,/api/v1/devices/ok0XFd/access/,47.0 ms,1 pet
PATCH,/api/v1/devices/kT9W8M/,101.0 ms,2 pet
POST,/api/v1/devices/85Cjm5/access/,56.0 ms,2 pet
POST,/api/v1/devices/Exui9e/access/,43.0 ms,1 pet
PATCH,/api/v1/devices/Exui9e/,66.0 ms,1 pet
PATCH,/api/v1/devices/QvLLbQ/,89.0 ms,1 pet
POST,/api/v1/devices/pVGu5T/access/,64.0 ms,1 pet
PATCH,/api/v1/devices/pVGu5T/,99.0 ms,1 pet
POST,/api/v1/devices/m9SBtb/access/,77.0 ms,1 pet
POST,/api/v1/devices/VbBaRp/access/,47.0 ms,1 pet
POST,/api/v1/devices/FhABK9/access/,47.0 ms,1 pet
PATCH,/api/v1/devices/Wpvbod/,84.5 ms,2 pet
POST,/api/v1/devices/DOnNPM/access/,44.0 ms,1 pet
PATCH,/api/v1/devices/hIoW0f/,94.0 ms,1 pet
POST,/api/v1/devices/zTqAm9/access/,47.0 ms,1 pet
POST,/api/v1/devices/cGj6Ds/access/,48.0 ms,1 pet
POST,/api/v1/devices/B8jJtn/access/,49.0 ms,1 pet
POST,/api/v1/devices/b4WsEL/access/,48.0 ms,1 pet
PATCH,/api/v1/devices/4Rxs2q/,92.0 ms,1 pet
POST,/api/v1/devices/4Rxs2q/access/,44.0 ms,1 pet
POST,/api/v1/devices/LCShYR/access/,45.0 ms,1 pet
POST,/api/v1/devices/LkzkNP/access/,79.0 ms,1 pet
PATCH,/api/v1/devices/LkzkNP/,104.0 ms,1 pet
POST,/api/v1/devices/K8uHqv/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/SiZzJq/,69.0 ms,1 pet
POST,/api/v1/devices/6W2C1I/access/,46.0 ms,1 pet
POST,/api/v1/devices/QRq7Jv/access/,48.0 ms,1 pet
POST,/api/v1/devices/ZJzHFN/access/,45.0 ms,1 pet
PATCH,/api/v1/devices/GGYefN/,92.0 ms,1 pet
POST,/api/v1/devices/m2qg8X/access/,49.0 ms,1 pet
PATCH,/api/v1/devices/m2qg8X/,61.0 ms,1 pet
POST,/api/v1/devices/MsHpX0/access/,46.0 ms,1 pet
POST,/api/v1/devices/HXaWhW/access/,70.0 ms,1 pet
PATCH,/api/v1/devices/Wrs6xS/,108.0 ms,1 pet
POST,/api/v1/devices/EjavBF/access/,44.0 ms,1 pet
PATCH,/api/v1/devices/MbcZF7/,91.0 ms,1 pet
POST,/api/v1/devices/1KiV2y/access/,45.0 ms,1 pet
POST,/api/v1/devices/nV9Bz6/access/,47.0 ms,1 pet
POST,/api/v1/devices/GxTIeq/access/,45.0 ms,1 pet
PATCH,/api/v1/devices/6yzk2C/,90.0 ms,1 pet
PATCH,/api/v1/devices/P2WHvQ/,64.0 ms,1 pet
POST,/api/v1/devices/6yzk2C/access/,45.0 ms,1 pet
POST,/api/v1/devices/S9WT6j/access/,58.0 ms,1 pet
PATCH,/api/v1/devices/lmOStX/,81.0 ms,1 pet
PATCH,/api/v1/devices/oCxBZ9/,80.0 ms,1 pet
PATCH,/api/v1/devices/HbC8Dr/,56.0 ms,1 pet
PATCH,/api/v1/devices/H6ytp5/,83.0 ms,2 pet
POST,/api/v1/devices/HbC8Dr/access/,70.0 ms,1 pet
PATCH,/api/v1/devices/N4dDS1/,57.0 ms,1 pet
POST,/api/v1/devices/XfLj4i/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/XfLj4i/,57.0 ms,1 pet
POST,/api/v1/devices/ntsIaa/access/,69.0 ms,1 pet
PATCH,/api/v1/devices/ntsIaa/,114.0 ms,1 pet
POST,/api/v1/devices/n2hcle/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/n2hcle/,97.0 ms,1 pet
PATCH,/api/v1/devices/JKwNpL/,89.0 ms,1 pet
POST,/api/v1/devices/NKDCuA/access/,71.0 ms,1 pet
POST,/api/v1/devices/TlC7Ic/access/,44.0 ms,1 pet
PATCH,/api/v1/devices/0z4VO8/,87.0 ms,2 pet
POST,/api/v1/devices/0z4VO8/access/,44.0 ms,1 pet
POST,/api/v1/devices/23luXf/access/,45.0 ms,1 pet
POST,/api/v1/devices/7QLIfs/access/,51.0 ms,1 pet
PATCH,/api/v1/devices/VXgjAR/,90.0 ms,1 pet
PATCH,/api/v1/devices/zat0W8/,88.0 ms,1 pet
POST,/api/v1/devices/1S4fBe/access/,48.0 ms,1 pet
POST,/api/v1/devices/Bfh4Ak/access/,58.0 ms,1 pet
PATCH,/api/v1/devices/3Ax0Ht/,140.0 ms,1 pet
PATCH,/api/v1/devices/8b8IRY/,81.0 ms,1 pet
PATCH,/api/v1/devices/5z8vko/,57.0 ms,1 pet
PATCH,/api/v1/devices/J7pc7l/,105.0 ms,1 pet
PATCH,/api/v1/devices/5Nc8mj/,78.0 ms,1 pet
POST,/api/v1/devices/eqRArk/access/,70.0 ms,1 pet
PATCH,/api/v1/devices/eqRArk/,114.0 ms,1 pet
PATCH,/api/v1/devices/JO0WaS/,76.0 ms,1 pet
POST,/api/v1/devices/BK3BNv/access/,60.0 ms,1 pet
PATCH,/api/v1/devices/BK3BNv/,89.0 ms,1 pet
POST,/api/v1/devices/1Ppuyh/access/,57.0 ms,1 pet
PATCH,/api/v1/devices/1Ppuyh/,99.33333333333333 ms,3 pet
PATCH,/api/v1/devices/8n8IAh/,225.0 ms,1 pet
POST,/api/v1/devices/pnStDk/access/,59.0 ms,1 pet
PATCH,/api/v1/devices/ldpcnQ/,60.0 ms,1 pet
POST,/api/v1/devices/ZsO3I2/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/H2LUuZ/,87.5 ms,2 pet
PATCH,/api/v1/devices/jgFJtp/,101.0 ms,1 pet
POST,/api/v1/devices/f4p5Hw/access/,51.0 ms,1 pet
POST,/api/v1/devices/links/?retries=1,46.0 ms,1 pet
PATCH,/api/v1/devices/Lu441Y/,77.0 ms,1 pet
POST,/api/v1/devices/HeUcBu/access/,47.0 ms,1 pet
PATCH,/api/v1/devices/1O4EAG/,83.71428571428571 ms,7 pet
POST,/api/v1/devices/3PhGzf/access/,70.0 ms,1 pet
POST,/api/v1/devices/V2JzlD/access/,46.0 ms,1 pet
POST,/api/v1/devices/ICNB31/access/,44.0 ms,1 pet
PATCH,/api/v1/devices/wB1zeB/,89.0 ms,1 pet
PATCH,/api/v1/devices/SnHZAb/,61.0 ms,1 pet
POST,/api/v1/devices/IkbRCW/access/,45.0 ms,1 pet
POST,/api/v1/devices/Ecbx3v/access/,74.0 ms,1 pet
POST,/api/v1/devices/PTpKuE/access/,45.0 ms,1 pet
PATCH,/api/v1/devices/CIIYy3/,84.0 ms,1 pet
POST,/api/v1/devices/CIIYy3/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/AyN92O/,62.0 ms,1 pet
PATCH,/api/v1/devices/bkQz37/,84.0 ms,1 pet
POST,/api/v1/devices/lDps8y/access/,47.0 ms,1 pet
PATCH,/api/v1/devices/5hN4zP/,81.0 ms,1 pet
POST,/api/v1/devices/fa4Ind/access/,45.0 ms,1 pet
POST,/api/v1/devices/jdkSYF/access/,45.0 ms,1 pet
PATCH,/api/v1/devices/5v1dCK/,82.0 ms,1 pet
PATCH,/api/v1/devices/FdMOYL/,83.5 ms,2 pet
PATCH,/api/v1/devices/VmADrz/,98.0 ms,1 pet
PATCH,/api/v1/devices/btfq4i/,116.0 ms,1 pet
PATCH,/api/v1/devices/SihfdL/,58.0 ms,1 pet
PATCH,/api/v1/devices/lA5Fsb/,99.0 ms,1 pet
POST,/api/v1/devices/RnuAKS/access/,50.0 ms,1 pet
PATCH,/api/v1/devices/wSqOjM/,94.0 ms,1 pet
POST,/api/v1/devices/KQk1Ev/access/,47.0 ms,1 pet
PATCH,/api/v1/devices/sOsk1X/,121.0 ms,1 pet
POST,/api/v1/devices/hpIUsH/access/,45.0 ms,1 pet
PATCH,/api/v1/devices/hpIUsH/,133.0 ms,1 pet
POST,/api/v1/devices/7oKidp/access/,47.0 ms,1 pet
PATCH,/api/v1/devices/Klexqk/,91.5 ms,2 pet
PATCH,/api/v1/devices/7oKidp/,57.0 ms,1 pet
POST,/api/v1/devices/IXxdAV/access/,48.0 ms,1 pet
PATCH,/api/v1/devices/IkbRCW/,93.0 ms,1 pet
POST,/api/v1/devices/01MuLL/access/,47.0 ms,1 pet
POST,/api/v1/devices/EfziV7/access/,45.0 ms,1 pet
POST,/api/v1/devices/Zp3lj5/access/,55.0 ms,1 pet
PATCH,/api/v1/devices/Zp3lj5/,97.0 ms,1 pet
PATCH,/api/v1/devices/CMDKaG/,91.0 ms,1 pet
POST,/api/v1/devices/zYE80R/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/nhfbMH/,104.0 ms,1 pet
POST,/api/v1/devices/nhfbMH/access/,43.0 ms,1 pet
PATCH,/api/v1/devices/qvocLX/,121.0 ms,1 pet
POST,/api/v1/devices/8jGcmB/access/,50.0 ms,1 pet
POST,/api/v1/devices/qvocLX/access/,49.0 ms,1 pet
PATCH,/api/v1/devices/oPv3co/,72.0 ms,1 pet
POST,/api/v1/devices/XelRCO/access/,48.0 ms,1 pet
PATCH,/api/v1/devices/uMexQv/,95.0 ms,1 pet
POST,/api/v1/devices/uMexQv/access/,47.0 ms,1 pet
POST,/api/v1/devices/c98d04/access/,44.0 ms,1 pet
POST,/api/v1/devices/ui6HjI/access/,45.0 ms,1 pet
POST,/api/v1/devices/sOmnVX/access/,47.0 ms,1 pet
PATCH,/api/v1/devices/sOmnVX/,56.0 ms,1 pet
PATCH,/api/v1/devices/8ZhlX7/,80.0 ms,1 pet
PATCH,/api/v1/devices/pWw3Qe/,95.0 ms,1 pet
PATCH,/api/v1/devices/p4VRHl/,88.0 ms,1 pet
PATCH,/api/v1/devices/l24L31/,55.0 ms,1 pet
PATCH,/api/v1/devices/9o1V4e/,58.0 ms,1 pet
POST,/api/v1/devices/FGGkBt/access/,52.0 ms,1 pet
POST,/api/v1/devices/RUh1T4/access/,69.0 ms,1 pet
PATCH,/api/v1/devices/RUh1T4/,58.0 ms,1 pet
POST,/api/v1/devices/mtZQul/access/,49.0 ms,1 pet
PATCH,/api/v1/devices/entsBG/,90.0 ms,1 pet
PATCH,/api/v1/devices/w3A3zR/,106.5 ms,4 pet
PATCH,/api/v1/devices/82PW0Z/,60.0 ms,1 pet
POST,/api/v1/devices/P1GrMj/access/,58.0 ms,1 pet
PATCH,/api/v1/devices/P1GrMj/,113.5 ms,2 pet
POST,/api/v1/devices/1DVL8M/access/,47.0 ms,1 pet
PATCH,/api/v1/devices/01MuLL/,78.0 ms,1 pet
POST,/api/v1/devices/y0ShmY/access/,52.0 ms,2 pet
PATCH,/api/v1/devices/y0ShmY/,84.5 ms,2 pet
PATCH,/api/v1/devices/Bso3Lp/,91.0 ms,1 pet
POST,/api/v1/devices/gC1wi9/access/,47.0 ms,1 pet
POST,/api/v1/devices/WZLUPB/access/,69.0 ms,1 pet
PATCH,/api/v1/devices/XLLv51/,93.0 ms,1 pet
PATCH,/api/v1/devices/x78Lf4/,95.66666666666667 ms,3 pet
POST,/api/v1/devices/x78Lf4/access/,50.0 ms,1 pet
POST,/api/v1/devices/JQCF49/access/,73.0 ms,1 pet
POST,/api/v1/devices/vMGJQ3/access/,44.0 ms,1 pet
PATCH,/api/v1/devices/Zr2rxk/,67.0 ms,1 pet
PATCH,/api/v1/devices/8lC3b2/,56.0 ms,1 pet
PATCH,/api/v1/devices/H7t2mt/,87.0 ms,1 pet
PATCH,/api/v1/devices/94U7mo/,57.0 ms,1 pet
PATCH,/api/v1/devices/DmEqGF/,61.0 ms,1 pet
POST,/api/v1/devices/9ESphH/access/,45.0 ms,1 pet
PATCH,/api/v1/devices/9ESphH/,89.0 ms,1 pet
POST,/api/v1/devices/8Z5Xb7/access/,47.0 ms,1 pet
POST,/api/v1/devices/5OUxfg/access/,54.0 ms,1 pet
PATCH,/api/v1/devices/5OUxfg/,56.0 ms,1 pet
POST,/api/v1/devices/me83y2/access/,44.0 ms,1 pet
PATCH,/api/v1/devices/me83y2/,58.0 ms,1 pet
POST,/api/v1/devices/yuCzfz/access/,49.0 ms,1 pet
POST,/api/v1/devices/uOMpII/access/,48.0 ms,1 pet
PATCH,/api/v1/devices/JbbRh1/,113.5 ms,2 pet
POST,/api/v1/devices/V3Ni41/access/,47.0 ms,1 pet
PATCH,/api/v1/devices/gnCDxA/,103.0 ms,1 pet
PATCH,/api/v1/devices/UKmjBp/,96.5 ms,2 pet
POST,/api/v1/devices/ko33VA/access/,71.0 ms,1 pet
PATCH,/api/v1/devices/B23Rqt/,89.0 ms,1 pet
POST,/api/v1/devices/71Scvm/access/,47.0 ms,1 pet
POST,/api/v1/devices/8EOult/access/,47.0 ms,1 pet
POST,/api/v1/devices/ZiDz1o/access/,47.0 ms,1 pet
PATCH,/api/v1/devices/vqAQAN/,62.0 ms,1 pet
POST,/api/v1/devices/7eY1bg/access/,49.0 ms,1 pet
POST,/api/v1/devices/csT4Dw/access/,71.0 ms,1 pet
PATCH,/api/v1/devices/csT4Dw/,82.0 ms,1 pet
PATCH,/api/v1/devices/e6Xd8z/,115.0 ms,1 pet
POST,/api/v1/devices/nZGbjL/access/,45.0 ms,1 pet
PATCH,/api/v1/devices/nZGbjL/,81.0 ms,1 pet
PATCH,/api/v1/devices/njaTHt/,84.0 ms,1 pet
PATCH,/api/v1/devices/B6z2bF/,77.0 ms,2 pet
PATCH,/api/v1/devices/l0jRZ9/,114.0 ms,3 pet
POST,/api/v1/devices/JisH71/access/,45.0 ms,1 pet
PATCH,/api/v1/devices/2VahaH/,86.0 ms,1 pet
POST,/api/v1/devices/FBFrup/access/,49.0 ms,1 pet
PATCH,/api/v1/devices/zSIxob/,66.0 ms,1 pet
PATCH,/api/v1/devices/d0xwgI/,55.0 ms,1 pet
PATCH,/api/v1/devices/d6Vwoa/,63.0 ms,1 pet
PATCH,/api/v1/devices/RCim3B/,92.0 ms,1 pet
POST,/api/v1/devices/HLUNJW/access/,47.0 ms,1 pet
PATCH,/api/v1/devices/f9sbBA/,84.0 ms,1 pet
POST,/api/v1/devices/eF39EY/access/,60.0 ms,1 pet
PATCH,/api/v1/devices/yU8gjD/,83.0 ms,1 pet
PATCH,/api/v1/devices/S1EVRS/,108.0 ms,1 pet
PATCH,/api/v1/devices/eF39EY/,154.0 ms,1 pet
PATCH,/api/v1/devices/feCIfB/,56.0 ms,1 pet
POST,/api/v1/devices/1SC23Z/access/,71.0 ms,1 pet
PATCH,/api/v1/devices/al73DM/,94.5 ms,2 pet
PATCH,/api/v1/devices/I5nw2a/,94.0 ms,1 pet
PATCH,/api/v1/devices/5Gglxk/,57.0 ms,1 pet
POST,/api/v1/devices/zJlD2v/access/,44.0 ms,1 pet
PATCH,/api/v1/devices/zJlD2v/,91.0 ms,1 pet
OPTIONS,/api/v1/devices/CNGVWY/access/,38.0 ms,1 pet
POST,/api/v1/devices/6IrMY4/access/,45.0 ms,1 pet
POST,/api/v1/devices/YEWInu/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/YEWInu/,96.0 ms,1 pet
PATCH,/api/v1/devices/lVAGgl/,90.0 ms,1 pet
POST,/api/v1/devices/1I7n3Z/access/,69.0 ms,1 pet
PATCH,/api/v1/devices/1I7n3Z/,90.0 ms,1 pet
PATCH,/api/v1/devices/QrhStZ/,90.0 ms,1 pet
POST,/api/v1/devices/fGvj6g/access/,63.0 ms,1 pet
PATCH,/api/v1/devices/fGvj6g/,90.75 ms,4 pet
PATCH,/api/v1/devices/3KVv2B/,68.0 ms,1 pet
POST,/api/v1/devices/3fuB0U/access/,47.0 ms,1 pet
PATCH,/api/v1/devices/KhXPuh/,88.0 ms,3 pet
POST,/api/v1/devices/l24L31/access/,49.0 ms,1 pet
PATCH,/api/v1/devices/DWuhvt/,98.0 ms,2 pet
PATCH,/api/v1/devices/hVo4GR/,97.5 ms,2 pet
PATCH,/api/v1/devices/n7r0VB/,81.0 ms,1 pet
POST,/api/v1/devices/RQNSR7/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/MMILx3/,56.0 ms,1 pet
POST,/api/v1/devices/LmZzIx/access/,47.0 ms,1 pet
PATCH,/api/v1/devices/LmZzIx/,55.0 ms,1 pet
POST,/api/v1/devices/lfN79R/access/,69.0 ms,1 pet
POST,/api/v1/devices/gkqlxx/access/,71.0 ms,1 pet
POST,/api/v1/devices/ANFkAC/access/,47.0 ms,1 pet
PATCH,/api/v1/devices/cKhfcM/,62.0 ms,1 pet
POST,/api/v1/devices/VJxoW2/access/,47.0 ms,1 pet
POST,/api/v1/devices/mUIgYj/access/,62.0 ms,1 pet
POST,/api/v1/devices/xyuUeB/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/xyuUeB/,57.0 ms,1 pet
POST,/api/v1/devices/4vVB5M/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/4vVB5M/,82.0 ms,1 pet
POST,/api/v1/devices/n7r0VB/access/,55.0 ms,1 pet
POST,/api/v1/devices/5POpFn/access/,45.0 ms,1 pet
POST,/api/v1/devices/s8nT3Q/access/,49.0 ms,1 pet
POST,/api/v1/devices/pLEYw7/access/,49.0 ms,1 pet
POST,/api/v1/devices/CDLNm7/access/,74.0 ms,1 pet
POST,/api/v1/devices/gU1H6N/access/,48.0 ms,1 pet
POST,/api/v1/devices/81gRu8/access/,49.0 ms,1 pet
POST,/api/v1/devices/KzFsed/access/,45.0 ms,1 pet
PATCH,/api/v1/devices/7uclsT/,117.0 ms,1 pet
POST,/api/v1/devices/7tIGbh/access/,49.0 ms,1 pet
PATCH,/api/v1/devices/KzFsed/,92.0 ms,1 pet
POST,/api/v1/devices/cbOD4I/access/,76.0 ms,1 pet
PATCH,/api/v1/devices/cbOD4I/,89.0 ms,1 pet
PATCH,/api/v1/devices/CTtnxF/,72.0 ms,1 pet
POST,/api/v1/devices/RM1g51/access/,47.0 ms,1 pet
PATCH,/api/v1/devices/RM1g51/,83.0 ms,1 pet
POST,/api/v1/devices/E9mzrF/access/,45.0 ms,1 pet
POST,/api/v1/devices/vdCj5I/access/,43.0 ms,1 pet
POST,/api/v1/devices/BBNZze/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/3QsTpY/,102.5 ms,2 pet
PATCH,/api/v1/devices/uwfXHT/,157.0 ms,3 pet
PATCH,/api/v1/devices/qm2RBt/,101.75 ms,4 pet
PATCH,/api/v1/devices/AVNTAV/,83.0 ms,1 pet
POST,/api/v1/devices/AVNTAV/access/,45.0 ms,1 pet
POST,/api/v1/devices/NyukSr/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/AdLHwD/,90.0 ms,1 pet
POST,/api/v1/devices/sMBXmT/access/,69.0 ms,1 pet
PATCH,/api/v1/devices/sMBXmT/,98.0 ms,1 pet
PATCH,/api/v1/devices/dA2STM/,93.0 ms,1 pet
POST,/api/v1/devices/dA2STM/access/,49.0 ms,1 pet
POST,/api/v1/devices/245VBZ/access/,45.0 ms,1 pet
POST,/api/v1/devices/d2djNo/access/,48.0 ms,1 pet
POST,/api/v1/devices/Ehm2Gb/access/,49.0 ms,1 pet
PATCH,/api/v1/devices/Ehm2Gb/,92.0 ms,1 pet
POST,/api/v1/devices/R5BKsD/access/,51.0 ms,1 pet
PATCH,/api/v1/devices/723qBl/,79.0 ms,1 pet
PATCH,/api/v1/devices/4G3Nmt/,81.0 ms,4 pet
PATCH,/api/v1/devices/Tdcdyj/,90.0 ms,1 pet
POST,/api/v1/devices/XWxD99/access/,51.0 ms,1 pet
POST,/api/v1/devices/YnHVng/access/,45.0 ms,1 pet
PATCH,/api/v1/devices/YnHVng/,111.0 ms,1 pet
POST,/api/v1/devices/3mESnO/access/,53.0 ms,1 pet
POST,/api/v1/devices/x2F7qX/access/,46.0 ms,1 pet
POST,/api/v1/devices/roI0oS/access/,44.0 ms,1 pet
PATCH,/api/v1/devices/roI0oS/,57.0 ms,1 pet
PATCH,/api/v1/devices/isu0HW/,88.0 ms,1 pet
POST,/api/v1/devices/At94CF/access/,45.0 ms,1 pet
PATCH,/api/v1/devices/At94CF/,82.0 ms,1 pet
PATCH,/api/v1/devices/MwIue3/,84.0 ms,1 pet
