Método,Ruta,Tiempo Medio,N. de Peticiones
POST,/api/v1/devices/D3HC9K/access/,85.0 ms,1 pet
PATCH,/api/v1/devices/D3HC9K/,99.0 ms,2 pet
POST,/api/v1/devices/iVJ6jp/access/,45.0 ms,1 pet
PATCH,/api/v1/devices/iVJ6jp/,54.0 ms,1 pet
POST,/api/v1/devices/,111.52 ms,25 pet
POST,/api/v1/devices/8CY2wD/access/,75.0 ms,1 pet
POST,/api/v1/devices/ct8gYX/access/,70.0 ms,1 pet
PATCH,/api/v1/devices/PukeDE/,88.5 ms,2 pet
PATCH,/api/v1/devices/ljnTMv/,85.0 ms,1 pet
PATCH,/api/v1/devices/gEFg1F/,93.0 ms,1 pet
POST,/api/v1/devices/vVZhf9/access/,45.0 ms,1 pet
PATCH,/api/v1/devices/xVPNea/,126.0 ms,1 pet
POST,/api/v1/devices/xVPNea/access/,46.0 ms,1 pet
POST,/api/v1/devices/RGa2Lz/access/,43.0 ms,1 pet
PATCH,/api/v1/devices/RGa2Lz/,78.0 ms,1 pet
POST,/api/v1/devices/Nbb42J/access/,47.0 ms,1 pet
PATCH,/api/v1/devices/BIhoky/,59.0 ms,2 pet
POST,/api/v1/devices/9l9OCp/access/,44.0 ms,1 pet
PATCH,/api/v1/devices/LEOYn2/,69.0 ms,1 pet
POST,/api/v1/devices/9aT6AG/access/,47.0 ms,1 pet
POST,/api/v1/devices/M3GoOT/access/,69.0 ms,1 pet
POST,/api/v1/devices/SmPnm7/access/,49.0 ms,1 pet
PATCH,/api/v1/devices/pHlfGI/,122.0 ms,2 pet
PATCH,/api/v1/devices/a3KSEC/,94.0 ms,2 pet
POST,/api/v1/devices/OYVnz0/access/,60.0 ms,1 pet
POST,/api/v1/devices/C5ubhi/access/,46.0 ms,1 pet
POST,/api/v1/devices/N1SANg/access/,45.0 ms,1 pet
PATCH,/api/v1/devices/x8eN9s/,97.0 ms,1 pet
POST,/api/v1/devices/qu9JVS/access/,47.0 ms,1 pet
POST,/api/v1/devices/b8bE6I/access/,45.0 ms,1 pet
PATCH,/api/v1/devices/b8bE6I/,88.8 ms,5 pet
PATCH,/api/v1/devices/IuVMkw/,116.0 ms,1 pet
PATCH,/api/v1/devices/JS2OVi/,99.25 ms,4 pet
POST,/api/v1/devices/JS2OVi/access/,51.0 ms,1 pet
PATCH,/api/v1/devices/1zM4mf/,90.0 ms,1 pet
POST,/api/v1/devices/htDoge/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/htDoge/,88.0 ms,1 pet
PATCH,/api/v1/devices/h8rh82/,80.5 ms,2 pet
POST,/api/v1/devices/6vUYoA/access/,46.0 ms,1 pet
OPTIONS,/api/v1/devices/wYZGgd/access/,15.0 ms,1 pet
PATCH,/api/v1/devices/z9ofwb/,90.0 ms,1 pet
POST,/api/v1/devices/C3h9wS/access/,50.0 ms,1 pet
POST,/api/v1/devices/BqPx5T/access/,45.0 ms,1 pet
POST,/api/v1/devices/rB3S2g/access/,45.0 ms,1 pet
PATCH,/api/v1/devices/zqU6g0/,87.0 ms,1 pet
PATCH,/api/v1/devices/NKytE9/,58.0 ms,1 pet
PATCH,/api/v1/devices/Rsos1F/,83.0 ms,1 pet
PATCH,/api/v1/devices/Kig8Sh/,88.0 ms,1 pet
POST,/api/v1/devices/9AKbmA/access/,44.0 ms,1 pet
PATCH,/api/v1/devices/hHXPLs/,61.0 ms,1 pet
POST,/api/v1/devices/xUhP9q/access/,66.5 ms,2 pet
POST,/api/v1/devices/VOwqfJ/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/Zpgt9N/,58.0 ms,1 pet
POST,/api/v1/devices/dL9uY3/access/,46.0 ms,1 pet
POST,/api/v1/devices/3zCi6D/access/,48.0 ms,1 pet
PATCH,/api/v1/devices/iet8vU/,85.0 ms,1 pet
POST,/api/v1/devices/f577v3/access/,64.0 ms,1 pet
POST,/api/v1/devices/WVDkCs/access/,53.0 ms,1 pet
PATCH,/api/v1/devices/Dgy82s/,72.0 ms,1 pet
POST,/api/v1/devices/IzpAzK/access/,46.0 ms,1 pet
PATCH,/api/v1/devices/IzpAzK/,84.0 ms,1 pet
POST,/api/v1/devices/2c84e0/access/,45.0 ms,1 pet
PATCH,/api/v1/devices/2c84e0/,59.0 ms,1 pet
PATCH,/api/v1/devices/LNjcWd/,90.0 ms,1 pet
PATCH,/api/v1/devices/DZsJED/,83.0 ms,1 pet
POST,/api/v1/devices/h0N1gr/access/,48.0 ms,1 pet
PATCH,/api/v1/devices/h0N1gr/,56.0 ms,1 pet
PATCH,/api/v1/devices/xNqtsz/,94.0 ms,1 pet
PATCH,/api/v1/devices/gcW8Ut/,57.0 ms,1 pet
PATCH,/api/v1/devices/mul6GN/,60.0 ms,1 pet
PATCH,/api/v1/devices/aL5xES/,84.0 ms,1 pet
POST,/api/v1/devices/mzdhKE/access/,48.0 ms,1 pet
POST,/api/v1/devices/ntA68V/access/,48.0 ms,1 pet
POST,/api/v1/devices/0FHMhL/access/,48.0 ms,1 pet
PATCH,/api/v1/devices/lUgQxF/,87.0 ms,1 pet
POST,/api/v1/devices/kH10uJ/access/,45.0 ms,1 pet
PATCH,/api/v1/devices/jdRv5T/,89.0 ms,1 pet
PATCH,/api/v1/devices/Wucio4/,91.25 ms,4 pet
PATCH,/api/v1/devices/JyiBSe/,77.0 ms,1 pet
PATCH,/api/v1/devices/OFFgDh/,81.0 ms,1 pet
POST,/api/v1/devices/V6JTR2/access/,55.0 ms,1 pet
POST,/api/v1/devices/RDjVFu/access/,44.0 ms,1 pet
PATCH,/api/v1/devices/t08Dd2/,60.0 ms,1 pet
PATCH,/api/v1/devices/UbbEW8/,63.0 ms,1 pet
PATCH,/api/v1/devices/FeqXCj/,86.0 ms,2 pet
POST,/api/v1/devices/Ni8Ami/access/,42.0 ms,1 pet
PATCH,/api/v1/devices/5XCEax/,87.0 ms,1 pet
PATCH,/api/v1/devices/7RaLCW/,57.0 ms,1 pet
PATCH,/api/v1/devices/nNOLSi/,82.0 ms,3 pet
PATCH,/api/v1/devices/mEAb8Q/,58.0 ms,1 pet
PATCH,/api/v1/devices/Ds9XkN/,57.0 ms,1 pet
POST,/api/v1/devices/AAE06g/access/,91.0 ms,1 pet
PATCH,/api/v1/devices/vXXdZe/,82.0 ms,1 pet
GET,/users/sign-in/?next=/app/feeds,29.0 ms,1 pet
PATCH,/api/v1/devices/Z2onAy/,95.0 ms,2 pet
PATCH,/api/v1/devices/1g1RCF/,109.0 ms,1 pet
